name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
aussieantics,English,esports,Fortnite,7.3,649.0,14.956,1.3,13.29,1240000,28600000,71,6.3,Friday,Sunday
guacamolemolly,Russian,personality,Just Chatting,3.6,510.0,9.121,1.5,3.198,423000,7560000,99,2.7,Thursday,Monday
jinnytty,English,personality,Just Chatting,7.6,479.0,28.223,1.6,16.123,1010000,60500000,311,5.9,Sunday,Sunday
pgl_dota2en2,English,esports,Dota 2,6.5,1.097,16.835,1.0,1.411,193000,2980000,2,0.7,Monday,Saturday
hutchmf,English,personality,Grand Theft Auto V,8.0,215.0,5.49,1.5,12.87,382000,9680000,133,4.7,Tuesday,Sunday
thegrefg,Spanish,personality,Just Chatting,4.5,7.156,159.68,2.0,6.849,11900000,263000000,114,6.3,Thursday,Sunday
auziomf,English,personality,FIFA 23,3.9,337.0,294.0,1.1,4.318,391000,341000,31,3.6,Monday,Saturday
giggand,German,personality,Grand Theft Auto V,4.8,741.0,6.936,2.1,4.84,638000,6180000,167,2.8,Sunday,Thursday
josedeodo,Spanish,personality,League of Legends,2.6,1.859,12.463,1.0,800.0,456000,3060000,4,1.0,Tuesday,Monday
mira,English,personality,Just Chatting,10.0,421.0,23.323,2.0,15.738,646000,34300000,80,3.8,Saturday,Sunday
dangerlyoha,Russian,personality,Just Chatting,3.9,1.65,14.754,2.1,2.092,890000,7950000,164,2.2,Saturday,Sunday
zentreya,English,personality,Just Chatting,5.1,307.0,4.295,2.2,9.37,502000,7160000,636,5.3,Tuesday,Sunday
stariy_bog,Russian,personality,Dota 2,4.6,180.0,3.245,1.0,6.613,281000,5070000,9,4.9,Monday,Sunday
kyedae,English,personality,VALORANT,5.5,4.142,45.278,1.2,4.066,2850000,31100000,73,3.6,Friday,Sunday
extraemily,English,personality,Just Chatting,5.2,429.0,559.0,1.7,5.216,365000,476000,204,4.8,Friday,Thursday
brawlhalla,English,esports,Brawlhalla,2.8,1.533,23.674,1.0,3.818,2080000,32700000,53,3.4,Tuesday,Sunday
akamikarubi,Japanese,personality,VALORANT,7.0,406.0,1.844,1.4,7.789,481000,2190000,153,5.9,Thursday,Sunday
bbbb87,Chinese,personality,League of Legends,6.9,122.0,12.933,1.8,7.762,152000,16100000,225,3.1,Saturday,Sunday
dota2_paragon_ru2,Russian,personality,Dota 2,10.0,1.175,0.0,1.0,620.0,78700,0,2,1.1,Monday,Monday
spiukbs,Spanish,personality,Brawl Stars,3.2,341.0,3.342,1.3,2.349,271000,2660000,37,2.4,Wednesday,Sunday
esl_dota2storm,English,esports,Dota 2,8.3,1.321,27.968,1.0,1.21,209000,5080000,2,0.5,Sunday,Thursday
pokimane,English,personality,Just Chatting,3.8,6.735,158.446,1.8,6.455,9320000,220000000,135,4.4,Tuesday,Wednesday
jolavanille,French,personality,Fortnite,6.8,471.0,11.348,2.3,8.754,643000,15400000,101,6.6,Sunday,Sunday
vinesauce,English,personality,Games + Demos,4.3,213.0,11.536,2.0,8.119,603000,41000000,918,4.8,Monday,Monday
strogo1337,Russian,personality,Just Chatting,3.2,918.0,7.317,2.1,2.417,665000,5300000,40,5.3,Sunday,Monday
yoda,Portuguese,personality,League of Legends,8.0,1.143,118.635,2.1,15.787,2440000,248000000,327,5.1,Thursday,Saturday
bastighg,German,personality,Minecraft,6.1,615.0,14.577,1.9,16.822,1780000,41100000,304,7.0,Thursday,Saturday
mistermv,French,personality,Teamfight Tactics,4.8,443.0,42.842,1.5,9.257,886000,86100000,565,4.9,Wednesday,Sunday
bkinho,Portuguese,personality,Grand Theft Auto V,7.5,1.12,5.0,1.9,1.848,277000,1300,38,0.9,Thursday,Tuesday
otzdarva,English,personality,Dead by Daylight,6.0,552.0,11.278,1.2,11.662,1020000,20700000,141,5.0,Saturday,Tuesday
elzeein,Spanish,personality,Just Chatting,7.2,878.0,612.0,1.9,4.766,551000,394000,90,2.2,Wednesday,Monday
setsuko,English,personality,Teamfight Tactics,6.8,247.0,284.0,1.0,4.9,165000,190000,14,4.0,Friday,Monday
woohankyung,Korean,personality,Just Chatting,5.0,1.093,38.046,1.2,2.602,587000,20400000,31,2.8,Wednesday,Sunday
steel,Russian,personality,Just Chatting,4.3,280.0,5.997,1.9,5.84,381000,8170000,101,4.3,Monday,Tuesday
etoiles,French,personality,Minecraft,5.3,685.0,27.739,2.1,9092.0,1100000,44500000,195,4.5,Saturday,Saturday
finalfantasyxiv,English,personality,FINAL FANTASY XIV ONLINE,3.6,800.0,23.958,1.0,1.393,339000,12000000,5,1.0,Friday,Saturday
dougdoug,English,personality,Just Chatting,3.2,1.839,5.588,1.4,2.387,904000,2750000,130,2.7,Tuesday,Tuesday
gerardromero,Spanish,personality,Sports,5.1,443.0,2.792,1.0,5.497,720000,4540000,12,6.0,Tuesday,Sunday
yuyuta0702,Japanese,personality,Just Chatting,6.0,369.0,2.965,1.3,3.716,261000,2100000,89,4.8,Saturday,Sunday
duke,English,personality,Just Chatting,2.4,7.086,4.392,1.3,711.0,2100000,1300000,49,0.8,Friday,Tuesday
meikodrj,Portuguese,personality,Grand Theft Auto V,5.6,572.0,5.979,1.6,7.712,764000,7990000,121,4.3,Friday,Sunday
lacobraaa,Spanish,personality,Just Chatting,5.2,558.0,1.548,1.4,8.04,949000,2640000,29,4.3,Monday,Wednesday
fanum,English,personality,Grand Theft Auto V,4.8,3.654,2.117,2.0,2.825,2049999,1190000,85,1.5,Thursday,Thursday
franio,Polish,personality,Just Chatting,5.5,721.0,4.497,1.3,3.783,437000,2730000,43,2.7,Wednesday,Sunday
henyathegenius,English,personality,Just Chatting,5.5,1.101,0.0,2.3,1.877,330000,0,159,6.3,Sunday,Sunday
tikyjr,French,personality,League of Legends,5.4,198.0,550.0,1.3,4.593,184000,513000,47,6.8,Tuesday,Tuesday
bonjwa,German,personality,Just Chatting,12.0,91.0,33.518,5.1,30.503,238000,83500000,1236,6.5,Thursday,Tuesday
jordan_semih,German,personality,Just Chatting,1.6,841.0,0.0,1.3,588.0,311000,0,36,5.9,Monday,Sunday
pobelter,English,personality,League of Legends,4.6,162.0,6.212,1.1,6.129,452000,20100000,32,3.4,Tuesday,Monday
valorant_br,Portuguese,esports,VALORANT,5.3,1.647,36.671,1.0,2.72,750000,16600000,3,2.8,Saturday,Sunday
mobilmobil,Chinese,personality,Talk Shows & Podcasts,5.1,88.0,33.342,1.8,13.349,548000,138000000,1256,6.7,Saturday,Sunday
izakooo,Polish,personality,Counter-Strike,6.8,545.0,51.797,1.6,13.869,1950000,190000000,195,5.2,Tuesday,Friday
never_loses,Chinese,personality,League of Legends,5.3,120.0,26.169,1.3,10.186,288000,53000000,88,4.8,Sunday,Thursday
oestagiario,Portuguese,personality,Sports,6.6,250.0,5.614,2.1,9.336,344000,7720000,121,4.8,Tuesday,Tuesday
staiy,German,personality,Just Chatting,5.3,112.0,11.031,1.8,12.214,348000,34000000,272,5.9,Sunday,Sunday
akademiks,English,personality,Just Chatting,4.3,639.0,5.029,1.1,3.736,556000,4610000,16,2.2,Friday,Friday
cct_cs,English,esports,Counter-Strike,10.5,455.0,44.292,1.0,9.44,417000,40700000,3,3.1,Wednesday,Tuesday
watsondoto,Russian,personality,Dota 2,4.5,442.0,1.578,1.0,1.998,209000,745000,5,1.4,Tuesday,Thursday
warframeinternational,Spanish,personality,Warframe,1.2,704.0,2.955,1.0,323.0,188000,790000,1,0.7,Wednesday,Wednesday
pqueen,Turkish,personality,Just Chatting,4.6,1.802,40.222,2.2,6.542,2300000,51400000,504,4.1,Wednesday,Wednesday
ninja,English,personality,Fortnite,7.4,9.552,280.75,1.3,12.47,19000000,572000000,70,4.1,Thursday,Sunday
distortion2,English,personality,ELDEN RING,8.3,187.0,11.272,1.6,21.939,644000,38400000,557,6.7,Wednesday,Sunday
betboom_cs_a,Russian,personality,Counter-Strike,8.4,337.0,45.839,1.0,11.451,334000,58100000,4,2.5,Wednesday,Sunday
koreshzy,Russian,personality,Just Chatting,2.7,2.097,14.381,1.1,2.27,1790000,12300000,29,4.1,Sunday,Sunday
ilrossopiubelloditwitch,Italian,personality,Just Chatting,3.2,991.0,0.0,1.2,1.25,380000,0,21,4.4,Tuesday,Saturday
michou,French,personality,Fortnite,3.3,12.49,23.308,1.3,545.0,1960000,3670000,42,0.5,Sunday,Saturday
banda_chosuke,Japanese,personality,Grand Theft Auto V,6.4,322.0,0.0,1.0,2.511,136000,8,7,4.9,Sunday,Sunday
filian,English,personality,Just Chatting,2.7,1.602,1.003,1.6,2.173,873000,547000,146,4.9,Sunday,Saturday
ramzes,Russian,personality,Dota 2,3.8,1.135,27.591,1.0,1.202,386000,9270000,11,0.8,Thursday,Tuesday
barbarousking,English,personality,Super Mario World,9.3,49.0,4.404,1.7,24.527,214000,19200000,515,6.7,Friday,Wednesday
t2x2,Russian,personality,Just Chatting,3.8,485.0,3.008,2.1,3.857,503000,3360000,311,2.6,Sunday,Friday
diario_as,Spanish,personality,Sports,2.5,21.0,53.0,1.0,1.422,14400,36700,11,2.3,Tuesday,Monday
renatko,Russian,personality,Just Chatting,3.3,197.0,1.876,1.5,3.435,213000,2029999,23,4.0,Friday,Tuesday
chatterbox,English,personality,Grand Theft Auto V,5.4,132.0,475.0,1.1,4.36,92600,332000,24,4.5,Tuesday,Sunday
chess,English,esports,Chess,4.9,470.0,129.772,1.0,10.76,1150000,348000000,7,4.9,Tuesday,Sunday
admiralbahroo,English,personality,Dead by Daylight,7.7,230.0,30.93,1.6,18.497,841000,83500000,542,6.1,Monday,Friday
xrohat,German,personality,Grand Theft Auto V,6.8,816.0,12.775,2.4,8.411,1040000,16300000,146,5.3,Wednesday,Sunday
vedal987,English,personality,Just Chatting,5.0,1.816,220.0,1.2,1.629,543000,66000,33,1.1,Monday,Tuesday
roier,Spanish,personality,Just Chatting,3.5,3.797,5.117,1.9,2.469,2420000,3280000,148,2.0,Tuesday,Sunday
doigby,French,personality,Fortnite,4.6,1.806,31.321,1.8,4.603,1810000,31700000,185,2.6,Thursday,Sunday
att,English,personality,Counter-Strike,2.1,607.0,261.664,1.0,103.0,20400,8640000,15,0.3,Friday,Thursday
skermz,English,personality,Dead by Daylight,4.9,182.0,894.0,1.0,6.266,235000,1160000,37,4.0,Wednesday,Monday
samueletienne,French,personality,Just Chatting,3.6,884.0,11.797,1.1,2.678,779000,9950000,42,4.2,Monday,Saturday
haitani0904,Japanese,personality,Street Fighter 6,5.4,139.0,1.57,1.2,3.842,113000,1270000,70,2.2,Tuesday,Sunday
telefe,Spanish,personality,Just Chatting,5.5,531.0,14.0,1.0,3.341,550000,14300,9,4.2,Tuesday,Monday
imorr,Turkish,personality,Counter-Strike,2.7,509.0,19.624,1.2,1.644,311000,12000000,17,1.7,Monday,Thursday
dariomocciatwitch,Italian,personality,Just Chatting,5.3,349.0,14.059,1.8,9.101,589000,23700000,315,5.4,Tuesday,Monday
lilsimsie,English,personality,The Sims 4,3.3,480.0,6.624,1.1,5.972,849000,11700000,54,5.2,Tuesday,Saturday
penta,English,personality,Grand Theft Auto V,7.0,185.0,11.645,1.3,15.728,360000,22600000,173,5.8,Thursday,Sunday
nikolarn,English,personality,Apex Legends,5.2,205.0,23.157,1.9,8.261,564000,38800000,125,4.0,Tuesday,Tuesday
supertf,English,personality,Overwatch,6.2,370.0,8.919,1.8,10.965,643000,15500000,274,4.7,Tuesday,Wednesday
realzbluewater,English,personality,Among Us,13.2,141.0,312.0,3.1,16.138,156000,378000,136,5.7,Thursday,Thursday
lightturnip,English,personality,MORDHAU,2.1,7.0,0.0,1.0,60.0,200,14,1,0.4,Sunday,Saturday
hiswattson,English,personality,Apex Legends,7.0,753.0,1.434,1.0,6.512,709000,1350000,15,4.2,Tuesday,Sunday
glorious_e,English,personality,Escape from Tarkov,7.2,181.0,3.961,1.1,12.951,341000,7460000,44,5.1,Monday,Sunday
michimochievee,English,personality,Just Chatting,8.2,1.928,0.0,2.1,263.0,98700,0,23,6.2,Wednesday,Sunday
kmsenkangoo,French,personality,Just Chatting,4.3,1.121,105.0,1.7,2.277,560000,52500,36,4.6,Sunday,Sunday
yaritaiji,Japanese,personality,Street Fighter 6,4.3,819.0,1.607,1.2,292.0,59700,114000,10,0.4,Saturday,Wednesday
imaqtpie,English,personality,League of Legends,8.0,444.0,68.813,1.6,20.876,2590000,348000000,173,6.6,Tuesday,Thursday
deepins02,Russian,personality,Just Chatting,3.0,4.033,9.035,1.9,1.233,1680000,3750000,92,2.7,Tuesday,Wednesday
mazellovvv,Russian,personality,Just Chatting,3.6,2.037,7.738,1.8,2.486,1380000,5220000,194,2.7,Wednesday,Sunday
faide,English,personality,Apex Legends,5.1,845.0,4.956,1.0,6.981,1090000,6400000,16,3.8,Tuesday,Sunday
akarindao,Japanese,personality,VALORANT,8.1,423.0,2.83,1.1,8.719,465000,3110000,80,5.6,Wednesday,Wednesday
4head,English,personality,Grand Theft Auto V,7.3,121.0,181.0,1.2,6.44,106000,159000,54,3.3,Sunday,Sunday
keznit1,Spanish,personality,VALORANT,3.0,325.0,5.09,1.1,3.426,396000,6190000,24,3.2,Wednesday,Friday
pestily,English,personality,Escape from Tarkov,8.2,742.0,37.524,1.2,15.155,1370000,69500000,119,5.3,Tuesday,Tuesday
gafallen,Portuguese,personality,Counter-Strike,3.1,2.159,57.369,1.2,1.85,1510000,43100000,32,1.5,Tuesday,Sunday
chilledchaos,English,personality,Among Us,4.8,241.0,8.396,1.8,7.117,459000,11900000,334,4.4,Wednesday,Tuesday
abugoku9999,German,personality,Grand Theft Auto V,7.1,564.0,7.831,1.9,6.844,550000,7640000,65,4.3,Monday,Sunday
agustinunaplay8,Spanish,personality,Dead by Daylight,3.7,399.0,1.541,1.4,2.653,289000,1110000,52,2.4,Tuesday,Tuesday
just_ns,Russian,personality,Dota 2,7.4,487.0,38.575,1.4,10.052,732000,55500000,198,3.5,Tuesday,Monday
tubbo,English,personality,Minecraft,4.7,3.81,47.258,1.5,6.727,5280000,65500000,129,4.6,Saturday,Thursday
kickeresport,German,personality,EA Sports FC 24,2.6,27.0,6.393,1.0,413.0,4300,998000,15,0.7,Thursday,Monday
mande,English,personality,Apex Legends,7.0,342.0,4.862,1.7,12.177,624000,8860000,194,4.5,Wednesday,Sunday
skyyart,French,personality,League of Legends,6.3,455.0,14.985,1.8,11.161,859000,27300000,236,4.6,Sunday,Saturday
lla,Spanish,esports,League of Legends,5.5,764.0,39.372,1.0,4.661,679000,35000000,6,2.3,Saturday,Saturday
quicksoooooo,French,personality,VALORANT,2.2,730.0,0.0,1.2,79.0,29200,0,2,1.0,Saturday,Thursday
kussia88,Russian,personality,Just Chatting,2.4,4.427,0.0,1.1,529.0,987000,8,16,3.9,Sunday,Thursday
cr_arisakaaa,Japanese,personality,VALORANT,4.7,1.005,459.0,1.1,1.976,435000,199000,56,1.3,Saturday,Sunday
im_mittiii,Japanese,personality,VALORANT,7.5,240.0,1.153,1.3,6.594,261000,1250000,80,5.7,Thursday,Sunday
missmikkaa,English,personality,ELDEN RING,6.2,250.0,1.113,1.3,8.169,334000,1570000,294,3.4,Thursday,Sunday
des0ut,Russian,personality,PUBG: BATTLEGROUNDS,3.8,336.0,12.726,2.0,5.836,486000,18400000,42,4.9,Friday,Saturday
grendy,Polish,personality,Grand Theft Auto V,5.7,214.0,6.713,1.4,5.081,188000,5900000,38,4.2,Tuesday,Sunday
minerva,Portuguese,personality,League of Legends,6.5,495.0,803.0,1.3,4.212,365000,2570000,15,1.9,Thursday,Sunday
universoreality_cl,Portuguese,personality,Just Chatting,5.2,595.0,0.0,1.5,268.0,28600,0,21,0.7,Monday,Monday
nissaxter,Spanish,personality,League of Legends,3.5,449.0,6.854,1.1,6.807,789000,12000000,64,5.5,Sunday,Wednesday
shuteye_orange,Chinese,personality,Just Chatting,16.1,80.0,29.42,1.5,44.732,175000,73300000,277,6.9,Monday,Saturday
perxitaa,Spanish,personality,Grand Theft Auto V,4.0,2.116,35.555,1.3,4.691,2490000,41800000,74,4.4,Wednesday,Sunday
jokerdtv,English,personality,World of Warcraft,9.2,226.0,15.728,1.1,12.889,314000,21800000,34,4.2,Monday,Friday
laligafcpro,Spanish,esports,FIFA 21,3.9,733.0,89.003,1.0,671.0,122000,14800000,5,0.8,Tuesday,Sunday
xcry,Spanish,personality,Just Chatting,3.0,2.911,7.387,2.0,3.798,3260000,8279999,268,3.7,Wednesday,Friday
pequenocabelo,Portuguese,personality,Grand Theft Auto V,2.0,6.727,0.0,1.5,10.0,30300,0,3,4.4,Monday,Saturday
dantes,English,personality,League of Legends,8.5,606.0,1.823,1.1,12.738,966000,2910000,73,6.2,Thursday,Monday
willneff,English,personality,Just Chatting,4.8,371.0,6.586,1.7,6.199,495000,8790000,290,4.3,Thursday,Monday
voodoosh,Russian,personality,Heroes of Might and Magic III: The Restoration of Erathia,7.0,196.0,20.779,1.5,14.745,385000,41300000,157,6.4,Tuesday,Friday
gronkhtv,German,personality,Variety,23.8,598.0,24.018,9.3,34.35,568000,21400000,355,4.2,Saturday,Saturday
drututt,English,personality,League of Legends,5.7,553.0,8.635,1.1,6.245,580000,9060000,30,3.1,Thursday,Sunday
manuuxo,Italian,personality,Just Chatting,4.2,321.0,603.0,2.7,4.756,355000,665000,410,4.2,Tuesday,Sunday
nadeshot,English,personality,VALORANT,5.5,1.427,26.147,1.2,5.773,2049999,62400000,52,2.7,Wednesday,Wednesday
sasavot,Russian,personality,Dota 2,4.3,1.213,63.0,2.2,1.635,466000,24800,89,1.7,Saturday,Monday
spkclb,Portuguese,personality,Grand Theft Auto V,2.9,609.0,1.557,1.7,1.835,345000,881000,30,1.7,Monday,Monday
alfrea,Japanese,personality,League of Legends,7.5,85.0,6.458,1.3,15.069,177000,13400000,174,5.1,Wednesday,Monday
broxah,English,personality,League of Legends,5.7,553.0,10.187,1.0,5.336,524000,9650000,19,2.5,Tuesday,Sunday
sacy,Portuguese,personality,VALORANT,5.7,644.0,16.366,1.2,5.53,682000,17300000,48,2.9,Wednesday,Sunday
oceaneamsler,French,personality,Just Chatting,2.3,3.445,4.0,1.0,231.0,345000,350,2,0.7,Sunday,Sunday
ren_kisaragi__,Japanese,personality,Street Fighter 6,5.4,862.0,0.0,1.1,1.004,178000,272,20,1.9,Thursday,Sunday
moistcr1tikal,English,personality,Just Chatting,5.2,2.455,26.988,1.5,9.722,5400000,59300000,460,6.2,Thursday,Friday
ravanha69,Portuguese,personality,Virtual Casino,21.6,92.0,25.0,1.0,5.714,16100,7900,3,0.8,Tuesday,Friday
boxbox,English,personality,Teamfight Tactics,6.8,564.0,29.058,1.9,15.166,2120000,125000000,166,5.7,Friday,Wednesday
carreraaa,Spanish,personality,Just Chatting,2.9,6.457,15.18,2.0,2.712,4570000,10700000,203,3.1,Tuesday,Sunday
evojapan02,Japanese,personality,Street Fighter V,11.8,3.625,27.446,3.1,83.0,27200,211000,14,0.0,Saturday,Saturday
39daph,English,personality,Art,7.1,745.0,20.125,2.1,11.517,1200000,32500000,692,4.5,Wednesday,Sunday
robcdee,English,personality,Just Chatting,7.8,183.0,7.907,1.0,13.565,323000,13900000,31,4.9,Saturday,Sunday
emongg,English,personality,Overwatch,8.2,383.0,16.892,1.1,19.907,983000,42400000,60,6.2,Wednesday,Wednesday
evojapan01,Japanese,personality,Variety,9.8,2.837,61.458,3.2,176.0,49000,1110000,24,0.0,Saturday,Sunday
moe_iori,Japanese,personality,Just Chatting,2.5,2.29,83.0,1.3,253.0,241000,13000,17,0.7,Friday,Sunday
crazyraccoonyy,Japanese,personality,VALORANT,7.0,1.312,5.616,1.4,682.0,135000,579000,23,0.6,Sunday,Tuesday
vysotzky,Polish,personality,League of Legends,4.7,696.0,16.114,1.7,3.35,385000,8910000,105,3.5,Friday,Monday
naru0419045,Japanese,personality,Street Fighter 6,6.3,127.0,0.0,1.3,2.423,60600,0,58,3.9,Tuesday,Sunday
aquino,Spanish,personality,Just Chatting,4.0,977.0,5.474,2.6,4.013,962000,5390000,358,2.9,Friday,Saturday
amouranth,English,personality,Just Chatting,9.5,2.123,112.858,2.0,32.024,6290000,401000000,153,6.4,Monday,Tuesday
theneedledrop,English,personality,Music,2.2,1.16,32.718,1.0,837.0,410000,11200000,3,1.8,Saturday,Monday
zoomaa,English,personality,Call of Duty: Modern Warfare II,6.1,204.0,4.716,1.7,10.448,377000,7900000,106,4.4,Thursday,Thursday
aldo_geo,Spanish,personality,Just Chatting,5.1,1.86,4.814,2.6,5.394,1870000,4830000,307,3.6,Thursday,Friday
sanninshow_3ns,Japanese,personality,Street Fighter 6,5.2,170.0,1.708,1.2,3.24,134000,1290000,99,3.8,Thursday,Sunday
jingggxd,English,personality,VALORANT,4.2,1.079,1.122,1.1,2.163,601000,625000,27,2.6,Sunday,Tuesday
batora324,Japanese,personality,Super Mario 64,5.2,133.0,1.621,1.4,2.677,75800,912000,102,2.5,Saturday,Tuesday
rezonfn,German,personality,Fortnite,3.5,1.017,7.044,1.1,3.003,947000,6570000,29,3.1,Friday,Sunday
luminositygaming,English,esports,Call of Duty: Warzone,3.0,389.0,165.122,1.1,727.0,87200,35400000,29,1.1,Wednesday,Sunday
dasmehdi,English,personality,Grand Theft Auto V,10.1,227.0,14.497,1.6,19.605,467000,28300000,529,5.0,Tuesday,Sunday
rdulive,English,personality,Hearthstone,7.0,126.0,14.166,1.1,15.21,330000,33500000,56,5.5,Tuesday,Sunday
masondota2,English,personality,Dota 2,5.4,146.0,10.772,1.1,8.956,259000,18900000,41,4.2,Tuesday,Sunday
symfuhny,English,personality,Call of Duty: Warzone,6.9,1.547,35.79,1.2,16.866,3990000,92300000,71,6.3,Tuesday,Sunday
mckytv,German,personality,Fortnite,6.3,707.0,24.995,2.2,13.022,1370000,48500000,211,5.2,Saturday,Sunday
insym,English,personality,Phasmophobia,4.5,299.0,3.286,1.4,7.977,567000,6230000,722,5.9,Saturday,Monday
vei,English,personality,Just Chatting,4.4,821.0,10.42,1.9,6.182,1060000,13400000,321,3.6,Sunday,Monday
peterbot,English,personality,Fortnite,3.0,1.004,1.225,1.1,1.498,550000,671000,9,2.6,Wednesday,Sunday
oniyadayo,Japanese,personality,Apex Legends,5.1,579.0,6.734,1.1,2.299,286000,3300000,62,2.6,Wednesday,Sunday
quickybaby,English,personality,World of Tanks,7.6,224.0,19.066,1.2,13.316,611000,52800000,101,4.5,Sunday,Sunday
tfblade,English,personality,League of Legends,8.0,581.0,45.247,1.0,14.807,1260000,98000000,30,5.2,Tuesday,Saturday
smallant,English,personality,Super Mario Odyssey,4.9,950.0,11.469,1.2,8.186,1390000,16700000,116,4.7,Wednesday,Tuesday
asianbunnyx,English,personality,Just Chatting,6.2,1.26,2.324,1.5,3.985,894000,1650000,30,2.9,Sunday,Wednesday
zrush,Chinese,personality,Just Chatting,7.1,75.0,20.321,1.6,17.003,264000,62800000,444,6.1,Sunday,Saturday
amar,German,personality,Fortnite,6.6,987.0,35.775,1.5,12.12,1720000,61700000,80,4.7,Sunday,Sunday
kyle,English,personality,Grand Theft Auto V,7.8,225.0,13.149,1.4,16.655,526000,30800000,293,6.2,Sunday,Sunday
ow_uruca,Japanese,personality,League of Legends,4.8,330.0,562.0,1.1,3.012,242000,415000,39,1.6,Monday,Sunday
ijenz,Spanish,personality,ASMR,20.1,1.252,17.286,1.5,23.983,1040000,14300000,36,5.8,Sunday,Sunday
hudson_jw,Portuguese,personality,Virtual Casino,19.2,74.0,0.0,1.0,135.0,1600,0,1,2.6,Monday,Monday
stompgoat,English,personality,Tom Clancy's Rainbow Six Siege,4.9,949.0,66.0,1.3,1.412,275000,19300,19,1.7,Sunday,Sunday
ratirl,English,personality,League of Legends,6.3,437.0,24.839,1.3,10.343,826000,46900000,41,4.2,Sunday,Saturday
elded,Spanish,personality,Just Chatting,6.0,1.933,28.164,3.1,14.494,5580000,82400000,539,6.2,Wednesday,Saturday
neexcsgo,Polish,personality,Counter-Strike,5.9,159.0,2.89,1.5,9.401,293000,5310000,80,4.1,Wednesday,Monday
dota2_paragon_ru3,Russian,personality,Dota 2,9.9,1.668,0.0,1.1,306.0,55200,0,2,0.5,Wednesday,Thursday
kitboga,English,personality,Just Chatting,5.5,863.0,21.836,1.1,8.045,1220000,33200000,51,3.9,Wednesday,Tuesday
c0ker,Spanish,personality,Just Chatting,2.7,262.0,1.736,1.4,3.142,363000,2410000,29,4.4,Monday,Friday
flats,English,personality,Overwatch,5.7,358.0,1.475,1.2,10.161,655000,2700000,109,5.0,Saturday,Wednesday
gutitubo,Japanese,personality,Minecraft,3.5,131.0,2.083,1.2,6.668,267000,4240000,274,5.3,Sunday,Sunday
crystalmolly,Spanish,personality,League of Legends,4.8,772.0,2.006,2.3,4.392,732000,1900000,115,3.2,Tuesday,Sunday
chowh1,French,personality,Call of Duty: Warzone,6.9,224.0,8.47,1.3,15.457,804000,30400000,92,5.7,Sunday,Sunday
absoluttlol,Portuguese,personality,League of Legends,5.8,178.0,1.451,1.4,5.592,163000,1340000,25,3.9,Thursday,Tuesday
mertabimula,German,personality,Just Chatting,7.5,368.0,1.762,2.4,6.296,327000,1560000,119,3.4,Friday,Monday
foolish,English,personality,Minecraft,6.1,1.675,19.614,2.3,7.796,2190000,25600000,159,4.2,Wednesday,Saturday
im_dontai,English,personality,Just Chatting,3.4,1.462,8.318,1.7,4.654,1860000,10600000,376,5.2,Tuesday,Wednesday
gu_zk,Portuguese,personality,Virtual Casino,19.6,232.0,35.0,1.1,5.822,47800,7200,11,1.2,Thursday,Saturday
alexelcapo,Spanish,personality,Minecraft,4.0,370.0,30.015,1.3,8.018,1070000,79800000,525,5.1,Tuesday,Sunday
serega_pirat,Russian,personality,Dota 2,3.8,446.0,6.927,1.6,2.137,255000,3950000,60,1.4,Sunday,Saturday
nobruxyn,Portuguese,personality,Virtual Casino,20.4,31.0,0.0,1.0,163.0,1500,0,1,2.3,Friday,Thursday
zy0xxx,English,personality,Genshin Impact,4.2,610.0,2.761,1.1,2.494,356000,1610000,33,1.9,Wednesday,Friday
skylinetvlive,German,personality,Just Chatting,4.3,325.0,1.166,1.0,2.841,215000,773000,16,1.9,Thursday,Sunday
lex_official_casino,Russian,personality,Casino,8.2,3.0,0.0,1.0,16.0,280,0,1,2.0,Tuesday,Wednesday
xthesolutiontv,German,personality,Call of Duty: Warzone,6.7,432.0,8.098,2.1,10.976,715000,12400000,144,4.2,Thursday,Sunday
c_a_k_e,Russian,personality,Dota 2,7.3,148.0,36.828,1.9,15.004,430000,89700000,737,5.2,Sunday,Sunday
grenbaud,Italian,personality,Just Chatting,3.0,1.296,11.838,1.3,2.472,1020000,9330000,52,4.3,Thursday,Saturday
tomateking,Spanish,personality,Grand Theft Auto V,4.5,148.0,1.544,1.5,6.225,209000,2180000,65,4.5,Tuesday,Sunday
alveussanctuary,English,personality,Animals Aquariums and Zoos,21.8,546.0,404.0,1.8,13.847,204000,155000,28,4.3,Wednesday,Friday
fugu_fps,French,personality,Apex Legends,4.2,563.0,844.0,1.3,3.318,464000,696000,94,4.1,Saturday,Sunday
rocketbaguette,French,esports,Rocket League,4.2,421.0,9.353,1.0,4.393,433000,9890000,3,2.6,Wednesday,Sunday
brothers_baseball,Chinese,personality,Sports,3.9,150.0,21.024,1.0,2.303,164000,22700000,12,2.8,Monday,Sunday
iwdominate,English,personality,League of Legends,6.3,273.0,25.602,1.1,13.258,872000,71100000,68,5.4,Sunday,Tuesday
godjj,Chinese,personality,League of Legends,6.7,62.0,33.312,2.0,16.059,375000,149000000,826,5.9,Sunday,Monday
rybsonlol_,Polish,personality,League of Legends,7.3,193.0,8.126,1.4,11.671,336000,14200000,105,4.5,Thursday,Sunday
