name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
rubius,Spanish,personality,Just Chatting,4.7,11.592,212.445,3.1,6.806,15000000,273000000,616,5.0,Sunday,Wednesday
zubarefff,Russian,personality,Just Chatting,2.9,3.009,0.0,1.1,1.38,1820000,464,14,4.5,Sunday,Sunday
tenz,English,personality,VALORANT,4.2,4.05,53.836,1.4,4.4,3970000,52800000,99,2.7,Saturday,Sunday
otplol_,French,esports,League of Legends,23.6,506.0,72.599,1.0,26.839,731000,100000000,7,6.5,Friday,Wednesday
casimito,Portuguese,personality,Just Chatting,6.2,3.446,33.501,2.0,6.786,3880000,37800000,75,3.7,Monday,Sunday
cameliaaa92,French,personality,Grand Theft Auto V,4.5,1.25,0.0,1.8,2.057,553000,0,28,4.2,Wednesday,Sunday
piratesoftware,English,personality,Software and Game Development,7.3,427.0,446.0,1.3,12.373,721000,756000,173,4.8,Monday,Monday
alanzoka,Portuguese,personality,Just Chatting,5.8,4.221,122.314,2.9,11.794,7110000,206000000,906,5.2,Thursday,Friday
valorant_americas,English,esports,Valorant,5.9,2.796,43.529,1.0,1.614,752000,11700000,1,1.5,Saturday,Sunday
gofns,English,personality,VALORANT,6.0,987.0,270.0,1.1,1.967,333000,171000,13,0.9,Thursday,Sunday
goa7league,Italian,personality,Just Chatting,6.2,5.017,0.0,1.0,191.0,158000,0,1,0.6,Friday,Sunday
nexxuz,Spanish,personality,Grand Theft Auto V,4.5,6.163,11.542,1.5,248.0,335000,759000,11,0.2,Tuesday,Sunday
ohnepixel,English,personality,Counter-Strike,6.4,1.309,2.79,1.2,6.041,1260000,2690000,40,4.3,Sunday,Friday
tsm_imperialhal,English,personality,Apex Legends,6.3,1.281,44.445,1.0,10.637,2029999,70500000,36,4.9,Thursday,Sunday
mizkif,English,personality,Just Chatting,5.5,1.443,71.268,2.0,9.697,2080000,103000000,323,4.7,Wednesday,Monday
